income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
96.0,505000.0,405000.0,6.75,False,False,False,False,False,True,False,0.0
46.0,205000.0,205000.0,6.25,True,False,False,False,False,False,False,0.0
52.0,105000.0,85000.0,6.75,False,False,False,False,False,True,False,15.0
152.0,725000.0,615000.0,5.99,False,False,False,False,False,False,False,0.0
92.0,275000.0,265000.0,7.75,False,False,False,False,False,False,True,0.0
96.0,325000.0,155000.0,7.0,False,False,False,False,False,True,False,0.0
81.0,365000.0,325000.0,7.125,False,False,False,False,False,False,True,0.0
157.0,265000.0,275000.0,7.25,False,True,False,False,False,False,False,0.0
47.0,145000.0,15000.0,0.0,False,False,False,False,False,False,True,0.0
69.0,285000.0,15000.0,6.75,False,False,False,False,False,True,False,0.0
75.0,675000.0,415000.0,5.75,False,False,False,False,False,False,True,0.0
96.0,435000.0,405000.0,6.75,False,False,False,False,False,True,False,0.0
71.0,305000.0,275000.0,5.875,False,False,False,False,False,False,True,0.0
151.0,405000.0,405000.0,7.125,False,True,False,False,False,False,False,0.0
96.0,225000.0,185000.0,5.4,False,False,False,False,False,False,True,0.0
96.0,185000.0,175000.0,7.5,False,False,False,False,False,True,False,0.0
67.0,335000.0,325000.0,6.25,False,False,False,False,False,False,True,0.0
82.0,305000.0,295000.0,6.0,False,False,False,False,False,False,True,0.0
115.0,155000.0,125000.0,7.625,False,False,False,False,False,True,False,0.0
76.0,325000.0,245000.0,6.6,False,False,False,False,False,False,True,71.0
96.0,385000.0,265000.0,9.125,False,False,False,False,False,True,False,0.0
95.0,345000.0,325000.0,6.688,False,False,False,False,False,False,True,0.0
96.0,435000.0,425000.0,6.125,False,False,False,False,False,True,False,0.0
96.0,245000.0,205000.0,6.375,False,False,False,False,False,True,False,0.0
171.0,445000.0,315000.0,7.124,False,False,False,False,False,False,True,0.0
202.0,335000.0,305000.0,7.25,False,False,False,False,False,False,True,0.0
425.0,1395000.0,1045000.0,6.5,False,False,False,False,False,False,True,0.0
112.0,375000.0,365000.0,6.999,False,False,False,False,False,False,True,0.0
61.0,245000.0,245000.0,6.5,False,False,False,False,False,False,True,0.0
96.0,345000.0,335000.0,7.375,False,False,False,False,False,True,False,0.0
99.0,405000.0,315000.0,7.25,False,True,False,False,False,False,False,0.0
36.0,105000.0,95000.0,7.375,False,False,False,False,False,False,True,0.0
158.0,445000.0,15000.0,10.25,False,False,False,False,False,False,True,150.0
281.0,935000.0,675000.0,7.125,False,False,False,False,False,False,False,22.0
118.0,715000.0,605000.0,6.25,False,False,False,False,False,False,True,0.0
218.0,605000.0,485000.0,7.374,False,False,False,False,False,False,True,0.0
85.0,365000.0,345000.0,6.125,False,False,False,False,False,False,True,0.0
62.0,215000.0,175000.0,7.0,False,False,False,False,False,False,True,0.0
238.0,515000.0,505000.0,7.25,False,False,False,False,False,False,True,0.0
63.0,235000.0,225000.0,5.99,False,False,False,False,False,False,True,0.0
159.0,445000.0,415000.0,7.125,False,False,False,False,False,False,True,0.0
96.0,155000.0,145000.0,6.625,False,False,False,False,False,True,False,0.0
96.0,355000.0,285000.0,6.625,False,False,False,False,False,True,False,0.0
150.0,325000.0,325000.0,6.75,False,False,False,False,False,False,True,0.0
59.0,95000.0,65000.0,8.0,False,False,False,False,False,False,True,0.0
72.0,335000.0,15000.0,0.0,False,False,False,False,False,False,True,0.0
62.0,255000.0,15000.0,0.0,False,False,False,False,False,False,True,0.0
116.0,435000.0,235000.0,8.09,False,False,False,False,False,False,True,0.0
118.0,365000.0,15000.0,7.625,False,True,False,False,False,False,False,375.0
94.0,405000.0,385000.0,5.99,False,False,False,False,False,False,True,0.0
70.0,255000.0,245000.0,7.125,False,False,False,False,False,False,True,0.0
122.0,425000.0,425000.0,6.875,False,False,False,False,False,False,False,0.0
51.0,355000.0,235000.0,5.5,False,False,False,False,False,False,True,0.0
129.0,365000.0,365000.0,5.5,False,False,False,False,False,False,True,0.0
161.0,305000.0,295000.0,7.5,False,False,False,False,False,False,True,0.0
46.0,175000.0,155000.0,5.775,False,False,False,False,False,False,True,0.0
156.0,475000.0,455000.0,6.625,False,False,False,False,False,False,True,603.0
96.0,385000.0,345000.0,6.125,False,False,False,False,False,True,False,0.0
800.0,1575000.0,1415000.0,5.75,False,False,False,False,False,False,True,212.0
96.0,155000.0,155000.0,5.625,False,False,False,False,False,True,False,0.0
96.0,375000.0,385000.0,6.125,False,False,False,False,False,True,False,0.0
100.0,315000.0,245000.0,6.375,False,False,False,False,False,False,True,0.0
96.0,285000.0,265000.0,6.974,False,False,False,False,False,True,False,0.0
